2023-02-02 22:02:502 INFO  EligibilityChecker :126 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:187 INFO  EligibilityChecker :130 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='dob-day']]
2023-02-02 22:02:352 INFO  EligibilityChecker :134 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='dob-month']]
2023-02-02 22:02:572 INFO  EligibilityChecker :138 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='dob-year']]
2023-02-02 22:02:730 INFO  EligibilityChecker :142 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:656 INFO  EligibilityChecker :146 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='radio-yes']]
2023-02-02 22:02:833 INFO  EligibilityChecker :150 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:534 INFO  EligibilityChecker :154 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='radio-no']]
2023-02-02 22:02:668 INFO  EligibilityChecker :158 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:315 INFO  EligibilityChecker :162 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='radio-no']]
2023-02-02 22:02:474 INFO  EligibilityChecker :166 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='next-button']]
2023-02-02 22:02:92 INFO  EligibilityChecker :170 - clicking on sign in button : [[ChromeDriver: chrome on WINDOWS (96e43fae870b6741b9823e4d80bdbdd2)] -> xpath: //input[@id='radio-no']]
